Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,56.770000,56.990002,56.099998,56.919998,55.334671,9961
2023-01-03,56.919998,57.860001,56.119999,57.459999,55.859631,80225
2023-01-04,57.459999,57.549999,56.430000,56.910000,55.324947,14131
2023-01-05,56.869999,56.869999,55.110001,55.880001,54.323643,32033
2023-01-06,55.869999,55.869999,54.820000,55.549999,54.002831,15029
2023-01-09,55.560001,56.250000,54.840000,55.279999,53.740349,18563
2023-01-10,55.279999,55.279999,53.759998,53.840000,52.340462,28524
2023-01-11,54.009998,54.509998,53.020000,53.509998,52.019646,18403
2023-01-12,53.509998,53.590000,51.869999,51.869999,50.425327,38207
2023-01-13,52.310001,52.439999,51.500000,52.299999,50.843346,35145
2023-01-16,52.299999,52.799999,52.020000,52.660000,51.193325,10986
2023-01-17,52.660000,53.220001,52.340000,52.340000,50.882233,29979
2023-01-18,52.340000,52.650002,51.310001,51.570000,50.133682,26098
2023-01-19,51.660000,52.750000,51.200001,51.540001,50.104515,21253
2023-01-20,51.540001,52.200001,51.520000,51.900002,50.454487,23932
2023-01-23,51.919998,52.419998,51.919998,52.150002,50.697525,30243
2023-01-24,52.150002,52.189999,51.529999,51.790001,50.347549,25071
2023-01-25,51.790001,51.790001,50.700001,51.599998,50.162846,25059
2023-01-26,51.599998,51.900002,51.259998,51.299999,49.871201,35820
2023-01-27,51.520000,51.669998,51.180000,51.430000,49.997581,45301
2023-01-30,51.430000,52.299999,51.169998,52.299999,50.843346,50419
2023-01-31,52.299999,52.299999,51.360001,51.700001,50.260063,70771
2023-02-01,51.700001,51.830002,51.349998,51.700001,50.260063,96764
2023-02-02,51.689999,51.689999,49.900002,50.660000,49.249027,107915
2023-02-03,51.000000,51.480000,50.500000,51.049999,49.628162,88148
2023-02-06,51.209999,52.230000,51.150002,51.520000,50.085072,60109
2023-02-07,51.520000,52.060001,51.410000,52.029999,50.580864,62826
2023-02-08,52.029999,52.240002,51.180000,51.180000,49.754543,80822
2023-02-09,51.820000,52.980000,51.759998,52.689999,51.222485,86090
2023-02-10,52.240002,52.520000,51.520000,52.380001,50.921127,130047
2023-02-13,52.169998,52.380001,51.549999,52.240002,50.785019,88554
2023-02-14,52.240002,52.799999,51.270000,51.270000,49.842033,57278
2023-02-15,51.509998,52.099998,51.509998,51.709999,50.269779,14179
2023-02-16,51.750000,52.139999,51.529999,51.610001,50.172569,24946
2023-02-17,51.610001,51.980000,51.490002,51.900002,50.454487,19259
2023-02-22,51.910000,52.279999,51.330002,51.330002,49.900368,21901
2023-02-23,51.400002,51.790001,51.119999,51.330002,49.900368,11348
2023-02-24,51.400002,52.099998,51.340000,52.099998,50.648914,16070
2023-02-27,52.099998,52.250000,51.660000,51.810001,50.366997,149571
2023-02-28,51.910000,52.099998,51.330002,52.099998,50.648914,20710
2023-03-01,52.099998,52.099998,50.599998,50.700001,49.287910,24527
2023-03-02,50.799999,51.849998,50.799999,51.799999,50.357273,256581
2023-03-03,51.799999,51.950001,51.500000,51.689999,50.250336,13825
2023-03-06,51.689999,52.160000,51.410000,52.009998,50.561424,17921
2023-03-07,52.009998,52.450001,51.750000,51.810001,50.366997,12051
2023-03-08,52.139999,52.139999,50.950001,51.650002,50.211449,13960
2023-03-09,51.650002,51.720001,51.000000,51.000000,49.579556,20367
2023-03-10,51.000000,52.000000,51.000000,51.500000,50.065628,50724
